ID;Type;Data;TimeUpdate
0;thermometer;0.000000;2024-11-10/02:04:03;
1;luxmeter;0;2024-11-10/02:04:03;
2;Decibelmeter;0;2024-11-10/02:04:03;
3;thermometer;0.000000;2024-11-10/02:04:03;
4;luxmeter;0;2024-11-10/02:04:03;
5;Decibelmeter;0;2024-11-10/02:04:03;
0;thermometer;0.000000;2024-11-10/02:04:03;
1;luxmeter;0;2024-11-10/02:04:03;
2;Decibelmeter;76;2024-11-10/02:04:04;
3;thermometer;0.000000;2024-11-10/02:04:03;
4;luxmeter;0;2024-11-10/02:04:03;
5;Decibelmeter;91;2024-11-10/02:04:04;
0;thermometer;0.000000;2024-11-10/02:04:03;
1;luxmeter;0;2024-11-10/02:04:03;
2;Decibelmeter;9;2024-11-10/02:04:05;
3;thermometer;0.000000;2024-11-10/02:04:03;
4;luxmeter;0;2024-11-10/02:04:03;
5;Decibelmeter;60;2024-11-10/02:04:05;
0;thermometer;0.000000;2024-11-10/02:04:03;
1;luxmeter;1;2024-11-10/02:04:06;
2;Decibelmeter;20;2024-11-10/02:04:06;
3;thermometer;0.000000;2024-11-10/02:04:03;
4;luxmeter;1;2024-11-10/02:04:06;
5;Decibelmeter;53;2024-11-10/02:04:06;
0;thermometer;0.000000;2024-11-10/02:04:03;
1;luxmeter;1;2024-11-10/02:04:06;
2;Decibelmeter;69;2024-11-10/02:04:07;
3;thermometer;0.000000;2024-11-10/02:04:03;
4;luxmeter;1;2024-11-10/02:04:06;
5;Decibelmeter;73;2024-11-10/02:04:07;
0;thermometer;0.000000;2024-11-10/02:04:03;
1;luxmeter;1;2024-11-10/02:04:06;
2;Decibelmeter;14;2024-11-10/02:04:08;
3;thermometer;0.000000;2024-11-10/02:04:03;
4;luxmeter;1;2024-11-10/02:04:06;
5;Decibelmeter;79;2024-11-10/02:04:08;
0;thermometer;0.000000;2024-11-10/02:04:03;
1;luxmeter;0;2024-11-10/02:04:09;
2;Decibelmeter;89;2024-11-10/02:04:09;
3;thermometer;0.000000;2024-11-10/02:04:03;
4;luxmeter;1;2024-11-10/02:04:09;
5;Decibelmeter;91;2024-11-10/02:04:09;
0;thermometer;0.000000;2024-11-10/02:04:03;
1;luxmeter;0;2024-11-10/02:04:09;
2;Decibelmeter;7;2024-11-10/02:04:10;
3;thermometer;0.000000;2024-11-10/02:04:03;
4;luxmeter;1;2024-11-10/02:04:09;
5;Decibelmeter;65;2024-11-10/02:04:10;
0;thermometer;0.000000;2024-11-10/02:04:03;
1;luxmeter;0;2024-11-10/02:04:09;
2;Decibelmeter;6;2024-11-10/02:04:11;
3;thermometer;0.000000;2024-11-10/02:04:03;
4;luxmeter;1;2024-11-10/02:04:09;
5;Decibelmeter;37;2024-11-10/02:04:11;
0;thermometer;0.000000;2024-11-10/02:04:03;
1;luxmeter;0;2024-11-10/02:04:12;
2;Decibelmeter;61;2024-11-10/02:04:12;
3;thermometer;0.000000;2024-11-10/02:04:03;
4;luxmeter;0;2024-11-10/02:04:12;
5;Decibelmeter;96;2024-11-10/02:04:12;
0;thermometer;-18.000000;2024-11-10/02:04:13;
1;luxmeter;0;2024-11-10/02:04:12;
2;Decibelmeter;28;2024-11-10/02:04:13;
3;thermometer;-29.000000;2024-11-10/02:04:13;
4;luxmeter;0;2024-11-10/02:04:12;
5;Decibelmeter;18;2024-11-10/02:04:13;
0;thermometer;-18.000000;2024-11-10/02:04:13;
1;luxmeter;0;2024-11-10/02:04:12;
2;Decibelmeter;69;2024-11-10/02:04:14;
3;thermometer;-29.000000;2024-11-10/02:04:13;
4;luxmeter;0;2024-11-10/02:04:12;
5;Decibelmeter;87;2024-11-10/02:04:14;
